,Date,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5,Open,High,Low,Close,Adj Close,Volume,^SP500-25Adj_Close,PLNTAdj_Close,XPOFAdj_Close,RSI
0,2021-10-13,LTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.9614,17.170000076293945,17.670000076293945,17.0,17.399999618530273,17.399999618530273,4128300,1462.47998046875,79.31999969482422,13.6899995803833,
1,2021-10-14,LTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7546,17.489999771118164,17.61400032043457,17.020000457763672,17.219999313354492,17.219999313354492,671300,1476.8900146484375,82.12999725341797,16.540000915527344,0.0
2,2021-10-15,LTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-108.1326,17.209999084472656,17.479999542236328,16.600000381469727,16.959999084472656,16.959999084472656,896000,1502.8699951171875,81.02999877929688,15.869999885559082,0.0
3,2021-10-18,LTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-158.2546,16.81999969482422,16.969999313354492,15.8100004196167,16.25,16.25,1047800,1520.9000244140625,80.80999755859375,15.470000267028809,0.0
4,2021-10-19,LTH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.4997,16.18000030517578,17.040000915527344,16.18000030517578,16.979999542236328,16.979999542236328,540300,1516.530029296875,81.1500015258789,15.949999809265137,38.829780218553836
5,2021-10-20,LTH,12.8163,0.0,0.0,0.0,0.0,0.0,-0.1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6384,54.6886,16.850000381469727,17.399999618530273,16.799999237060547,17.229999542236328,17.229999542236328,394600,1514.22998046875,77.0999984741211,16.1200008392334,46.00938630809692
6,2021-10-21,LTH,114.0995,0.0,0.0,1.0,0.0,0.0,0.0565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3294,115.942,17.290000915527344,17.799999237060547,17.03499984741211,17.75,17.75,387700,1535.199951171875,79.44999694824219,16.18000030517578,60.72876182151073
7,2021-10-22,LTH,64.9993,0.0,0.0,0.9988,0.0,0.0,0.1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833,57.9535,17.56999969482422,17.75,17.139999389648438,17.18000030517578,17.18000030517578,346700,1525.030029296875,79.0,16.110000610351562,53.956858224930016
8,2021-10-25,LTH,-13.1612,0.0,0.0,0.9902,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6707,-31.9785,17.190000534057617,17.200000762939453,16.8799991607666,17.09000015258789,17.09000015258789,585300,1557.280029296875,79.0,15.109999656677246,69.44444935017687
9,2021-10-26,LTH,-3.4445,0.0,0.0,0.9878,0.0,0.0,0.0662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3867,-61.7235,17.1200008392334,17.420000076293945,16.75,17.059999465942383,17.059999465942383,498300,1560.9599609375,80.08000183105469,15.979999542236328,52.73972155341682
10,2021-10-27,LTH,143.7305,0.0,0.0,1.0379,0.0,0.0,0.1599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9241,113.0324,17.059999465942383,18.25,16.899999618530273,18.059999465942383,18.059999465942383,1105000,1564.72998046875,79.76000213623047,15.510000228881836,68.77827038941828
11,2021-10-28,LTH,125.9488,0.0,0.0,1.0447,0.0,0.0,0.1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1438,94.3031,18.0,18.059999465942383,17.454999923706055,17.989999771118164,17.989999771118164,511600,1586.1099853515625,79.12000274658203,15.9399995803833,56.81817442917723
12,2021-10-29,LTH,56.3121,0.0,0.0,1.0224,0.0,0.0,0.1388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7947,20.3855,18.100000381469727,18.139999389648438,17.149999618530273,17.34000015258789,17.34000015258789,627700,1585.719970703125,79.55000305175781,16.899999618530273,54.34782157998943
13,2021-11-01,LTH,-7.6835,0.0,0.0,1.0775,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5713,-53.3161,17.139999389648438,17.700000762939453,16.690000534057617,17.510000228881836,17.510000228881836,486400,1608.800048828125,82.87999725341797,17.100000381469727,60.93750155220423
14,2021-11-02,LTH,47.8392,0.0,0.0,1.0353,0.0,0.0,0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3806,-8.4779,17.510000228881836,17.760000228881836,17.399999618530273,17.579999923706055,17.579999923706055,169400,1598.81005859375,82.47000122070312,16.600000381469727,63.26532399640328
15,2021-11-03,LTH,92.0128,0.0,0.0,1.0209,0.0,0.1798,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,1.033,0.0639,74.8157,17.8799991607666,18.3799991607666,17.40999984741211,17.59000015258789,17.59000015258789,805600,1628.219970703125,82.61000061035156,17.889999389648438,25.77321412068217
16,2021-11-04,LTH,137.6488,0.0,0.0,1.0276,0.0,0.2518,0.0921,0.0,0.0,0.0,0.0,0.0,0.0,1.4397,0.5205,128.4324,17.600000381469727,18.469999313354492,17.59000015258789,18.239999771118164,18.239999771118164,664400,1652.449951171875,92.25,17.200000762939453,58.064520098542296
