,Date,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5,Open,High,Low,Close,Adj Close,Volume,HAYNAdj_Close,RYIAdj_Close,ASTLAdj_Close,RSI
0,2017-02-09,METC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.6317,12.100000381469727,12.40999984741211,11.819999694824219,11.890000343322754,10.685052871704102,551000,34.61244201660156,10.766789436340332,,
1,2017-02-10,METC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.7288,11.569999694824219,12.0,11.40999984741211,11.890000343322754,10.685052871704102,734300,34.961143493652344,10.53170394897461,,
2,2017-02-13,METC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3763,11.899999618530273,13.0,11.779999732971191,12.149999618530273,10.918704986572266,259500,35.94081497192383,10.860820770263672,,100.0
3,2017-02-14,METC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.8021,12.069999694824219,12.430000305175781,11.020000457763672,11.149999618530273,10.020045280456543,434000,34.67055892944336,10.719770431518555,,20.63496207830272
4,2017-02-15,METC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105.9197,11.199999809265137,11.600000381469727,11.0,11.300000190734863,10.154844284057617,596900,34.5875358581543,10.719770431518555,,29.078049947992795
5,2017-02-16,METC,-95.2498,0.0,0.0,0.0,0.0,0.0,-0.3223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0592,-71.7067,11.199999809265137,11.84000015258789,10.970000267028809,11.100000381469727,9.975111961364746,157400,34.5958251953125,11.28396987915039,,25.46586471121364
6,2017-02-17,METC,-110.5096,0.0,0.0,0.8074,0.0,0.0,-0.3062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9598,-94.5513,11.0,11.3100004196167,10.739999771118164,10.9399995803833,9.831327438354492,242900,34.728675842285156,10.954854011535645,,23.163882117208885
7,2017-02-21,METC,-82.9563,0.0,0.0,0.8615,0.0,0.0,-0.2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3475,-53.9389,10.890000343322754,11.300000190734863,10.890000343322754,11.199999809265137,10.064979553222656,147600,34.96944046020508,11.189937591552734,,23.163882117208885
8,2017-02-22,METC,-79.9385,0.0,0.0,0.8586,0.0,0.0,-0.1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7343,-55.5556,11.010000228881836,11.300000190734863,10.899999618530273,10.989999771118164,9.876259803771973,172500,34.06447982788086,11.28396987915039,,41.83675016351406
9,2017-02-23,METC,-79.5214,0.0,0.0,0.907,0.0,0.0,-0.1269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2621,-71.2271,10.8100004196167,11.15999984741211,10.8100004196167,11.020000457763672,9.903221130371094,102800,32.65309524536133,10.390654563903809,,33.72108806602236
