,time,Company,CCI_daily_10,CCI_daily_25,CCI_daily_50,ROCR_CCI_daily_50,ROCR_ROC_daily_10_close,"APO_daily_close_(8, 20)_2","APO_daily_close_(5, 10)_2",MACD_daily_close_26_52_9,MACD_Hist_x,MACD_Signal_x,MACD_daily_close_12_26_9,MACD_Hist_y,MACD_Signal_y,"PPO_daily_close_(8, 20)_2","PPO_daily_close_(5, 10)_2",CCI_daily_5
10,2024-05-29,LTH,-39.3798,59.5474,93.4794,1.046,1.0553,0.3858,-0.0054,0.352,0.0804,0.2716,0.4011,0.0562,0.3449,2.4951,-0.0341,-133.091
11,2024-05-28,LTH,36.4617,105.1999,149.1916,1.0625,1.1092,0.5111,0.1691,0.3527,0.1011,0.2515,0.4413,0.1104,0.3309,3.3144,1.0672,-66.1939
12,2024-05-24,LTH,89.2019,146.7185,195.6687,1.1123,1.1599,0.6028,0.3104,0.345,0.1187,0.2262,0.4678,0.1645,0.3033,3.9267,1.9609,39.8956
13,2024-05-23,LTH,108.9144,160.6054,205.5104,1.0782,1.142,0.5862,0.325,0.3104,0.1138,0.1965,0.4327,0.1705,0.2622,3.8531,2.0743,56.421
14,2024-05-22,LTH,179.4258,211.6527,266.6596,1.127,1.1965,0.5748,0.3733,0.2808,0.1127,0.1681,0.4071,0.1875,0.2196,3.8088,2.403,147.7843
15,2024-05-21,LTH,137.4975,159.9075,192.3393,1.061,1.1275,0.4563,0.2784,0.2263,0.0864,0.1399,0.3176,0.1449,0.1727,3.0594,1.822,134.3817
16,2024-05-20,LTH,106.5641,129.7661,141.1885,1.0352,1.0603,0.3739,0.1924,0.1844,0.0661,0.1183,0.2486,0.1121,0.1365,2.5306,1.2746,53.8832
17,2024-05-17,LTH,132.1562,139.1644,139.644,1.0806,1.0677,0.3691,0.1847,0.1658,0.064,0.1018,0.2292,0.1208,0.1084,2.5109,1.2294,69.1941
18,2024-05-16,LTH,195.3101,175.3509,167.6829,1.1054,1.0728,0.3661,0.154,0.1448,0.059,0.0858,0.2022,0.1239,0.0782,2.5042,1.0308,166.6667
19,2024-05-15,LTH,73.6263,107.9126,78.8638,1.1523,1.0239,0.3055,0.0484,0.1072,0.0362,0.071,0.1311,0.0839,0.0472,2.1071,0.3275,87.7999
20,2024-05-14,LTH,65.9003,110.7492,78.7255,1.082,0.9635,0.3088,0.053,0.0909,0.0289,0.062,0.1037,0.0774,0.0263,2.1395,0.3613,163.1944
21,2024-05-13,LTH,52.6103,73.0402,50.1334,1.0492,0.9742,0.3222,0.129,0.0805,0.0257,0.0547,0.0875,0.0806,0.0069,2.2399,0.8838,-26.1708
22,2024-05-10,LTH,59.5105,65.4382,47.7417,1.0325,1.0055,0.2968,0.2307,0.0709,0.0226,0.0483,0.0717,0.0849,-0.0132,2.0699,1.5884,-35.8873
23,2024-05-09,LTH,80.2665,75.2795,57.5374,1.0517,1.0,0.2604,0.3267,0.0645,0.0218,0.0427,0.0617,0.0962,-0.0345,1.8204,2.2597,33.908
24,2024-05-08,LTH,83.919,55.3311,42.261,0.9993,1.0027,0.1736,0.3538,0.0476,0.0104,0.0372,0.0246,0.0831,-0.0585,1.2186,2.4678,32.3339
25,2024-05-07,LTH,147.0021,118.9394,102.0626,1.03,1.0237,0.0986,0.3016,0.0368,0.0021,0.0346,-0.0027,0.0765,-0.0793,0.6943,2.1167,99.7805
26,2024-05-06,LTH,110.2631,64.7679,55.5378,1.0482,0.9717,-0.0619,0.094,0.0061,-0.028,0.0341,-0.0834,0.015,-0.0984,-0.4383,0.6678,121.0762
27,2024-05-03,LTH,32.7093,-28.0359,-9.9569,1.01,0.9117,-0.1882,-0.1043,-0.0157,-0.0568,0.0411,-0.1536,-0.0514,-0.1022,-1.3375,-0.7479,88.1747
28,2024-05-02,LTH,-42.523,-89.0008,-50.1718,1.0086,0.9169,-0.2225,-0.2046,-0.0144,-0.0697,0.0553,-0.1768,-0.0875,-0.0893,-1.5796,-1.4691,15.2538
29,2024-05-01,LTH,-231.7726,-220.0363,-141.0955,0.9427,0.8832,-0.2584,-0.301,-0.0121,-0.0849,0.0727,-0.2018,-0.1343,-0.0674,-1.8326,-2.1641,-145.577
30,2024-04-30,LTH,-135.7106,-141.4748,-56.1104,0.962,0.9305,-0.1304,-0.1306,0.0366,-0.0574,0.0939,-0.1157,-0.0818,-0.0339,-0.9163,-0.9254,-140.6982
31,2024-04-29,LTH,-35.6436,-91.8658,-11.2453,0.9723,0.9372,-0.0816,-0.004,0.0642,-0.0441,0.1083,-0.0713,-0.0579,-0.0134,-0.5706,-0.0282,-77.3771
32,2024-04-26,LTH,-22.1005,-88.7492,-1.9886,0.9881,0.9698,-0.0921,0.0639,0.0799,-0.0394,0.1193,-0.0514,-0.0524,0.0011,-0.642,0.4491,-50.1123
33,2024-04-25,LTH,-2.8585,-81.4325,8.3643,0.9691,0.9916,-0.123,0.1013,0.0924,-0.0368,0.1292,-0.0373,-0.0515,0.0142,-0.8548,0.7105,-18.8769
34,2024-04-24,LTH,99.263,-3.3606,49.022,1.0014,1.0281,-0.1461,0.1298,0.1078,-0.0306,0.1383,-0.0148,-0.0419,0.0271,-1.0117,0.909,89.7918
35,2024-04-23,LTH,79.8238,-11.0694,45.2388,0.955,1.0188,-0.2473,0.0196,0.1026,-0.0434,0.146,-0.0408,-0.0784,0.0375,-1.7124,0.1377,166.6667
36,2024-04-22,LTH,-69.0638,-108.6769,-5.5936,0.9332,0.9979,-0.3511,-0.1332,0.0966,-0.0603,0.1568,-0.0735,-0.1306,0.0571,-2.4315,-0.941,-11.2806
37,2024-04-19,LTH,-76.5785,-107.2558,-2.0059,0.9642,0.9756,-0.3745,-0.199,0.1119,-0.06,0.1719,-0.058,-0.1478,0.0898,-2.5836,-1.3998,-29.4737
38,2024-04-18,LTH,-121.3696,-138.9903,-12.5919,0.9441,0.9689,-0.3523,-0.24,0.1324,-0.0545,0.1869,-0.0283,-0.155,0.1267,-2.4191,-1.6776,-96.9269
39,2024-04-17,LTH,-136.0346,-138.4654,-4.1608,0.9445,0.9523,-0.3005,-0.2594,0.155,-0.0455,0.2005,0.01,-0.1555,0.1655,-2.0543,-1.8003,-121.2169
40,2024-04-16,LTH,-129.9459,-110.8233,14.7275,0.9634,0.9627,-0.2025,-0.2042,0.1889,-0.0231,0.2119,0.0812,-0.1232,0.2043,-1.3757,-1.4018,-124.9588
41,2024-04-15,LTH,-82.9552,-59.1733,38.8946,0.9487,0.9836,-0.1396,-0.1449,0.2095,-0.0081,0.2177,0.1291,-0.1061,0.2351,-0.945,-0.9885,-53.7336
42,2024-04-12,LTH,-116.1756,-86.9551,31.9707,0.9227,0.9748,-0.0998,-0.0893,0.2227,0.003,0.2197,0.1649,-0.0967,0.2617,-0.674,-0.6067,-92.3674
43,2024-04-11,LTH,-92.488,-48.8787,47.9759,0.9448,1.0341,-0.0345,-0.0249,0.2413,0.0223,0.219,0.2195,-0.0664,0.2858,-0.2324,-0.168,-75.5657
44,2024-04-10,LTH,-75.7752,-7.8542,62.6654,0.9939,1.051,0.0188,0.0064,0.2516,0.0382,0.2134,0.2615,-0.0409,0.3024,0.1268,0.0427,-72.1584
45,2024-04-09,LTH,70.7375,133.7773,121.2888,1.045,1.1313,0.0887,0.0234,0.2595,0.0557,0.2038,0.3042,-0.0085,0.3127,0.5967,0.1562,131.8828
